Region, Total generation (MWh) by state 2021
US,4120144619
ALABAMA,142731860.6
ALASKA,6595817.773
ARIZONA,108500973.4
ARKANSAS,61100068.01
CALIFORNIA,196943760.1
COLORADO,56832574.33
CONNECTICUT,44079943.54
DELAWARE,4305126
DISTRICT OF COLUMBIA,184480.001
FLORIDA,246185265.4
GEORGIA,124199775.5
HAWAII,9180590.002
IDAHO,16834399.8
ILLINOIS,181296445.2
INDIANA,94126667.18
IOWA,67198724.48
KANSAS,56573059.82
KENTUCKY,69904814.12
LOUISIANA,97167796.19
MAINE,10900945.88
MARYLAND,38166718.99
MASSACHUSETTS,19429416.6
MICHIGAN,115299089.6
MINNESOTA,59157704.84
MISSISSIPPI,67723496.55
MISSOURI,76941409.99
MONTANA,24947923.14
NEBRASKA,37910897.99
NEVADA,41723320
NEW HAMPSHIRE,17193229.59
NEW JERSEY,61421799.86
NEW MEXICO,35073357
NEW YORK,123769709.5
NORTH CAROLINA,129730297.1
NORTH DAKOTA,43032367
OHIO,125609191.3
OKLAHOMA,80754585.81
OREGON,61016874.6
PENNSYLVANIA,241279607
PUERTO RICO,18578947
RHODE ISLAND,9314561.279
SOUTH CAROLINA,98113946.63
SOUTH DAKOTA,17322408.88
TENNESSEE,79057209.28
TEXAS,480614368.1
UTAH,42560373.01
VERMONT,2107702.867
VIRGINIA,93103269.05
WASHINGTON,110808400.6
WEST VIRGINIA,65836062.99
WISCONSIN,64242541.96
WYOMING,43460743.88
