Subcomponent,Battery type,Data,Unit,Metal,Value
EV Battery,NCA-G,Metal content,kg/kg,Lithium,0.017178082
EV Battery,NCA-G,Metal content,kg/kg,Nickel,0.11126525
EV Battery,NCA-G,Metal content,kg/kg,Cobalt,0.020951101
EV Battery,NCA-G,Metal content,kg/kg,Manganese,0
EV Battery,NCA-G,Metal content,kg/kg,Aluminum,0.233606351
EV Battery,NCA-G,Metal content,kg/kg,Steel,0.006210902
EV Battery,NMC622-G,Metal content,kg/kg,Lithium,0.0217504
EV Battery,NMC622-G,Metal content,kg/kg,Nickel,0.101285392
EV Battery,NMC622-G,Metal content,kg/kg,Cobalt,0.031598833
EV Battery,NMC622-G,Metal content,kg/kg,Manganese,0.033905612
EV Battery,NMC622-G,Metal content,kg/kg,Aluminum,0.215781651
EV Battery,NMC622-G,Metal content,kg/kg,Steel,0.007415237
EV Battery,NMC333-G,Metal content,kg/kg,Lithium,0.022798713
EV Battery,NMC333-G,Metal content,kg/kg,Nickel,0.058980229
EV Battery,NMC333-G,Metal content,kg/kg,Cobalt,0.059231465
EV Battery,NMC333-G,Metal content,kg/kg,Manganese,0.055201635
EV Battery,NMC333-G,Metal content,kg/kg,Aluminum,0.194306008
EV Battery,NMC333-G,Metal content,kg/kg,Steel,0.007440532
EV Battery,LFP-G,Metal content,kg/kg,Lithium,0.0129731
EV Battery,LFP-G,Metal content,kg/kg,Nickel,0
EV Battery,LFP-G,Metal content,kg/kg,Cobalt,0
EV Battery,LFP-G,Metal content,kg/kg,Manganese,0
EV Battery,LFP-G,Metal content,kg/kg,Aluminum,0.193373335
EV Battery,LFP-G,Metal content,kg/kg,Steel,0.006187883
EV Battery,LMO-LTO,Metal content,kg/kg,Lithium,0.021165609
EV Battery,LMO-LTO,Metal content,kg/kg,Nickel,0
EV Battery,LMO-LTO,Metal content,kg/kg,Cobalt,0
EV Battery,LMO-LTO,Metal content,kg/kg,Manganese,0.157080957
EV Battery,LMO-LTO,Metal content,kg/kg,Aluminum,0.208884364
EV Battery,LMO-LTO,Metal content,kg/kg,Steel,0.00742635
EV Battery,LMO-G,Metal content,kg/kg,Lithium,0.011478608
EV Battery,LMO-G,Metal content,kg/kg,Nickel,0
EV Battery,LMO-G,Metal content,kg/kg,Cobalt,0
EV Battery,LMO-G,Metal content,kg/kg,Manganese,0.160681985
EV Battery,LMO-G,Metal content,kg/kg,Aluminum,0.200630304
EV Battery,LMO-G,Metal content,kg/kg,Steel,0.007449139
EV Battery,NMC/x%LMO-G,Metal content,kg/kg,Lithium,0.014656462
EV Battery,NMC/x%LMO-G,Metal content,kg/kg,Nickel,0.008437088
EV Battery,NMC/x%LMO-G,Metal content,kg/kg,Cobalt,0.008473027
EV Battery,NMC/x%LMO-G,Metal content,kg/kg,Manganese,0.078965625
EV Battery,NMC/x%LMO-G,Metal content,kg/kg,Aluminum,0.190118039
EV Battery,NMC/x%LMO-G,Metal content,kg/kg,Steel,0.007480863
